# Created with esearch -db bioproject -query PRJDB4176 | elink -target biosample \
# | efetch -mode xml
# | xtract -pattern BioSample -block "Ids/Id" -if "Id@db" -equals "BioSample" -element "Id" \
#                             -block 'Attributes/Attribute' \
#                             -if "Attribute@attribute_name" -equals "host_disease_stat" \
#                              -element "Attribute"
sample_accession	Subject_ID	disease_status
SAMD00115011	10377	
SAMD00115010	10385	
SAMD00115007	10371	
SAMD00115006	10366	
SAMD00115005	10364	
SAMD00115004	10340	
SAMD00115003	10339	
SAMD00114999	10089	
SAMD00114996	10106	
SAMD00114995	10105	
SAMD00114993	10288	
SAMD00114992	10274	
SAMD00114991	10273	
SAMD00114990	10271	
SAMD00114989	10269	
SAMD00114988	10261	
SAMD00114987	10259	
SAMD00114986	10254	
SAMD00114985	10251	
SAMD00114984	10235	
SAMD00114981	10242	
SAMD00114980	10209	
SAMD00114979	10200	
SAMD00114978	10198	
SAMD00114976	10221	
SAMD00114975	10212	
SAMD00114973	10052	
SAMD00114972	10033	
SAMD00114971	10031	
SAMD00114969	10055	
SAMD00114968	10036	
SAMD00114965	10829	
SAMD00114963	10817	
SAMD00114962	10811	
SAMD00114961	10809	
SAMD00114960	10785	
SAMD00114958	10774	
SAMD00114957	10772	
SAMD00114956	10760	
SAMD00114955	10759	
SAMD00114952	10731	
SAMD00114951	10723	
SAMD00114949	10715	
SAMD00114948	10767	
SAMD00114947	10766	
SAMD00114945	10741	
SAMD00114944	10700	
SAMD00114943	10697	
SAMD00114942	10678	
SAMD00114941	10667	
SAMD00114940	10659	
SAMD00114939	10644	
SAMD00114937	10619	
SAMD00114936	10695	
SAMD00114935	10694	
SAMD00114934	10675	
SAMD00114933	10665	
SAMD00114932	10657	
SAMD00114930	10642	
SAMD00114928	10630	
SAMD00114927	10628	
SAMD00114926	10618	
SAMD00114925	10756	
SAMD00114924	10745	
SAMD00114923	10728	
SAMD00114922	10722	
SAMD00114921	10720	
SAMD00114919	10713	
SAMD00114917	10765	
SAMD00114916	10762	
SAMD00114914	10749	
SAMD00114913	10726	
SAMD00114911	10718	
SAMD00114910	10717	
SAMD00114909	10709	
SAMD00114908	10698	
SAMD00114907	10839	
SAMD00114906	10838	
SAMD00114905	10827	
SAMD00114904	10825	
SAMD00114903	10816	
SAMD00114902	10814	
SAMD00114901	10807	
SAMD00114900	10805	
SAMD00114899	10794	
SAMD00114898	10684	
SAMD00114897	10670	
SAMD00114896	10668	
SAMD00114894	10660	
SAMD00114891	10635	
SAMD00114890	10634	
SAMD00114889	10621	
SAMD00114888	10620	
SAMD00114887	10614	
SAMD00114886	10853	
SAMD00114885	10835	
SAMD00114883	10812	
SAMD00114882	10804	
SAMD00114881	10801	
SAMD00114879	10775	
SAMD00114878	10674	
SAMD00114877	10671	
SAMD00114876	10663	
SAMD00114875	10648	
SAMD00114873	10627	
SAMD00114872	10622	
SAMD00114870	10615	
SAMD00114869	10585	
SAMD00114868	10584	
SAMD00114867	10577	
SAMD00114866	10571	
SAMD00114864	10569	
SAMD00114861	10610	
SAMD00114860	10593	
SAMD00114858	10508	
SAMD00114857	10505	
SAMD00114856	10609	
SAMD00114855	10608	
SAMD00114854	10586	
SAMD00114853	10581	
SAMD00114852	10576	
SAMD00114851	10572	
SAMD00114850	10559	
SAMD00114848	10550	
SAMD00114847	10548	
SAMD00114846	10545	
SAMD00114845	10543	
SAMD00114844	10542	
SAMD00114841	10532	
SAMD00114839	10598	
SAMD00114838	10592	
SAMD00114837	10591	
SAMD00114836	10525	
SAMD00114835	10523	
SAMD00114833	10151	
SAMD00114832	10144	
SAMD00114831	10138	
SAMD00114830	10487	
SAMD00114828	10485	
SAMD00114827	10484	
SAMD00114824	10510	
SAMD00114823	10503	
SAMD00114822	10492	
SAMD00114821	10471	
SAMD00114820	10470	
SAMD00114819	10456	
SAMD00114818	10519	
SAMD00114817	10514	
SAMD00114816	10389	
SAMD00114815	10183	
SAMD00114814	10480	
SAMD00114812	10473	
SAMD00114811	10469	
SAMD00114810	10468	
SAMD00114809	10465	
SAMD00114808	10464	
SAMD00114807	10463	
SAMD00114806	10462	
SAMD00114804	10459	
SAMD00114802	10182	
SAMD00114801	10109	
SAMD00114800	10244	
SAMD00114799	10265	
SAMD00114797	10260	
SAMD00114796	10258	
SAMD00114795	10250	
SAMD00114794	10249	
SAMD00114793	10248	
SAMD00114791	10349	
SAMD00114790	10345	
SAMD00114789	10341	
SAMD00114788	10338	
SAMD00114787	10336	
SAMD00114786	10358	
SAMD00114785	10357	
SAMD00114784	10354	
SAMD00114780	10301	
SAMD00114779	10317	
SAMD00114777	10309	
SAMD00114776	10308	
SAMD00114775	10307	
SAMD00114774	10306	
SAMD00114773	10215	
SAMD00114772	10213	
SAMD00114771	10208	
SAMD00114769	10206	
SAMD00114768	10203	
SAMD00114766	10199	
SAMD00114764	10185	
SAMD00114762	10177	
SAMD00114759	10165	
SAMD00114758	10161	
